n_neighbors,weights,Train score,Val score,Test score,Time
20.0,distance,1.0,0.0662,0.0267,0.0
100.0,uniform,0.0864,0.0877,0.055,0.0
45.0,uniform,0.0995,0.0847,0.0461,0.0
10.0,uniform,0.1692,0.0174,-0.0367,0.0
200.0,distance,1.0,0.0919,0.0626,0.0
130.0,distance,1.0,0.0916,0.058,0.0
160.0,distance,1.0,0.0913,0.0607,0.0
90.0,distance,1.0,0.0895,0.0553,0.0
120.0,uniform,0.0841,0.0895,0.0571,0.0
20.0,uniform,0.1253,0.0666,0.0286,0.0
75.0,uniform,0.0915,0.0867,0.0535,0.0
150.0,uniform,0.0817,0.0907,0.0611,0.0
200.0,uniform,0.079,0.0915,0.063,0.0
195.0,distance,1.0,0.0925,0.0621,0.0
105.0,uniform,0.0864,0.0875,0.0552,0.0
55.0,distance,1.0,0.0909,0.0467,0.0
5.0,distance,1.0,-0.0762,-0.1208,0.0
10.0,distance,1.0,0.0168,-0.0376,0.0
130.0,uniform,0.0834,0.0911,0.0583,0.0
30.0,distance,1.0,0.0805,0.0398,0.0
60.0,distance,1.0,0.0884,0.0484,0.0
170.0,uniform,0.0805,0.0909,0.0625,0.0
90.0,uniform,0.0886,0.0889,0.0557,0.0
160.0,uniform,0.0811,0.0908,0.061,0.0
155.0,distance,1.0,0.0906,0.0605,0.0
140.0,distance,1.0,0.0914,0.0592,0.0
150.0,distance,1.0,0.0912,0.0607,0.0
180.0,distance,1.0,0.0923,0.0623,0.0
105.0,distance,1.0,0.0882,0.055,0.0
65.0,uniform,0.0925,0.0886,0.0503,0.0
95.0,distance,1.0,0.0889,0.0553,0.0
40.0,uniform,0.1039,0.0846,0.0443,0.0
110.0,distance,1.0,0.0888,0.056,0.0
85.0,distance,1.0,0.0884,0.0545,0.0
185.0,uniform,0.0794,0.0921,0.0625,0.0
190.0,distance,1.0,0.0926,0.0622,0.0
40.0,distance,1.0,0.0845,0.0436,0.0
75.0,distance,1.0,0.0873,0.053,0.0
145.0,uniform,0.0823,0.0907,0.0601,0.0
65.0,distance,1.0,0.089,0.05,0.0
5.0,uniform,0.255,-0.0753,-0.1215,0.0
115.0,distance,1.0,0.0896,0.0567,0.0
15.0,uniform,0.1419,0.0517,0.0056,0.0
155.0,uniform,0.0816,0.09,0.0609,0.0
180.0,uniform,0.0798,0.092,0.0628,0.0
95.0,uniform,0.0877,0.0882,0.0557,0.0
125.0,distance,1.0,0.0912,0.0577,0.0
80.0,distance,1.0,0.0888,0.0539,0.0
55.0,uniform,0.0949,0.091,0.047,0.0
50.0,uniform,0.0972,0.0882,0.0466,0.0
175.0,uniform,0.08,0.0911,0.0628,0.0
30.0,uniform,0.1124,0.0808,0.0412,0.0
115.0,uniform,0.0846,0.089,0.057,0.0
70.0,uniform,0.0916,0.0869,0.0522,0.0
70.0,distance,1.0,0.0875,0.0518,0.0
165.0,distance,1.0,0.0915,0.0619,0.0
85.0,uniform,0.0893,0.0878,0.0549,0.0
15.0,distance,1.0,0.0509,0.004,0.0
170.0,distance,1.0,0.0914,0.062,0.0
135.0,distance,1.0,0.0919,0.0586,0.0
80.0,uniform,0.0902,0.0883,0.0543,0.0
195.0,uniform,0.0794,0.0922,0.0624,0.0
25.0,uniform,0.1168,0.0755,0.0338,0.0
120.0,distance,1.0,0.0902,0.0569,0.0
135.0,uniform,0.0831,0.0915,0.059,0.0
190.0,uniform,0.0797,0.0923,0.0625,0.0
50.0,distance,1.0,0.0882,0.0462,0.0
100.0,distance,1.0,0.0884,0.0548,0.0
165.0,uniform,0.0807,0.091,0.0624,0.0
45.0,distance,1.0,0.0848,0.0456,0.0
35.0,uniform,0.1062,0.0806,0.0424,0.0
110.0,uniform,0.0855,0.0881,0.0563,0.0
35.0,distance,1.0,0.0807,0.0416,0.0
25.0,distance,1.0,0.075,0.0324,0.0
60.0,uniform,0.0934,0.0881,0.0486,0.0
125.0,uniform,0.0835,0.0907,0.0579,0.0
145.0,distance,1.0,0.0912,0.0597,0.0
185.0,distance,1.0,0.0924,0.0621,0.0
140.0,uniform,0.0829,0.0909,0.0595,0.0
175.0,distance,1.0,0.0915,0.0623,0.0
