n_estimators,learning_rate,random_state,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
150.0,0.1,19421221.0,0.1795,0.1835,0.1674,0.2279,0.2274,0.2297,173773295546509.72,174531370369779.22,176333119485561.28,29.18
50.0,0.1,19421221.0,0.2508,0.2557,0.2371,0.2178,0.2171,0.2199,179130831860219.62,179805209836586.97,181623186571751.7,13.31
100.0,0.1,19421221.0,0.1842,0.1882,0.1723,0.2273,0.2267,0.2291,174039693372141.03,174861354506514.25,176635621012165.56,26.5
200.0,0.1,19421221.0,0.1795,0.1835,0.1674,0.2279,0.2274,0.2297,173773295546509.72,174531370369779.22,176333119485561.28,29.92
150.0,0.0001,19421221.0,0.3241,0.3133,0.3043,0.2069,0.2085,0.21,196443623004648.2,198144628098550.9,200534153900932.56,41.08
150.0,0.001,19421221.0,0.3262,0.3143,0.3066,0.2066,0.2084,0.2096,195536112138365.4,197362399096008.22,199604253986066.03,40.3
150.0,0.01,19421221.0,0.3169,0.3209,0.2978,0.208,0.2074,0.211,187998921074051.2,187921192371276.9,192319453783370.88,39.87
150.0,1.0,19421221.0,0.1773,0.1827,0.1663,0.2282,0.2275,0.2299,171938042736902.28,172079427907671.9,173845934726193.1,4.1
150.0,10.0,19421221.0,-0.0729,-0.0729,-0.073,0.2607,0.2606,0.2608,305987444771673.9,305956576758045.2,306301666513017.06,0.54
150.0,100.0,19421221.0,-13.7182,-13.7197,-13.7032,0.9654,0.9654,0.9654,0.9321,0.9321,0.932,0.33
200.0,1.0,19421221.0,0.1773,0.1827,0.1663,0.2282,0.2275,0.2299,171938042736902.28,172079427907671.9,173845934726193.1,4.12
100.0,0.01,19421221.0,0.3285,0.3256,0.3072,0.2062,0.2066,0.2096,189871816025876.5,190492372649069.88,194318363705360.9,27.74
200.0,0.01,19421221.0,0.3063,0.3117,0.2886,0.2096,0.2088,0.2124,186640987121769.62,186588499426155.53,190739384746010.97,52.39
100.0,1.0,19421221.0,0.1773,0.1827,0.1663,0.2282,0.2275,0.2299,171938042736902.28,172079427907671.9,173845934726193.1,4.04
50.0,0.001,19421221.0,0.3265,0.3167,0.309,0.2065,0.208,0.2093,195743945093574.28,197498483854990.3,199546020199662.8,13.27
200.0,10.0,19421221.0,-0.0729,-0.0729,-0.073,0.2607,0.2606,0.2608,305987444771673.9,305956576758045.2,306301666513017.06,0.51
100.0,0.001,19421221.0,0.3261,0.3157,0.3072,0.2066,0.2082,0.2096,195712815249047.72,197341891746812.7,199651424055603.53,26.56
200.0,0.001,19421221.0,0.3268,0.3149,0.3069,0.2065,0.2083,0.2096,195425725775860.0,197263888791584.0,199538711068714.16,55.49
50.0,1.0,19421221.0,0.1773,0.1827,0.1663,0.2282,0.2275,0.2299,171938042736902.28,172079427907671.9,173845934726193.1,4.1
50.0,0.01,19421221.0,0.3292,0.3204,0.3088,0.2061,0.2074,0.2093,193814512549947.5,195031889704323.06,197859554601121.3,13.36
50.0,10.0,19421221.0,-0.0729,-0.0729,-0.073,0.2607,0.2606,0.2608,305987444771673.9,305956576758045.2,306301666513017.06,0.52
100.0,10.0,19421221.0,-0.0729,-0.0729,-0.073,0.2607,0.2606,0.2608,305987444771673.9,305956576758045.2,306301666513017.06,0.54
100.0,0.0001,19421221.0,0.3234,0.3132,0.3043,0.207,0.2085,0.21,196762710634053.5,198278007497048.12,200648098730017.28,27.07
50.0,0.0001,19421221.0,0.324,0.3131,0.305,0.2069,0.2086,0.2099,196563809371287.25,198268386170864.22,200533788491350.4,13.49
50.0,100.0,19421221.0,-13.7182,-13.7197,-13.7032,0.9654,0.9654,0.9654,0.9321,0.9321,0.932,0.32
200.0,100.0,19421221.0,-13.7182,-13.7197,-13.7032,0.9654,0.9654,0.9654,0.9321,0.9321,0.932,0.35
100.0,100.0,19421221.0,-13.7182,-13.7197,-13.7032,0.9654,0.9654,0.9654,0.9321,0.9321,0.932,0.32
200.0,0.0001,19421221.0,0.324,0.314,0.3043,0.2069,0.2084,0.21,196410500400801.75,197926994529234.53,200415816329011.6,53.09
